City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
319,Ixtapa,MX,87.22,clear sky,20.7,-105.2,hotel la terminal
320,Haimen,CN,67.89,scattered clouds,23.1935,116.6142,Shantou Chaoyang Donghui Hotel
323,Abu Kamal,SY,77.68,scattered clouds,34.4506,40.9171,البوكمال
325,Dahanu,IN,79.59,overcast clouds,19.9667,72.7333,Pearline Beach Villas
328,Viseu,PT,65.86,broken clouds,40.661,-7.9097,Montebelo Viseu Congress Hotel
331,Rawson,AR,72.03,clear sky,-43.3002,-65.1023,Hosteria Sampedro
332,Piacabucu,BR,81.28,broken clouds,-10.4056,-36.4344,Piaçabuçu News
334,Honiara,SB,76.86,few clouds,-9.4333,159.95,Heritage Park Hotel
337,Mareeba,AU,70.52,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
339,Benguela,AO,73.94,few clouds,-12.5763,13.4055,Hotel Praia Morena
340,Chala,TZ,69.12,broken clouds,-7.5833,31.2667,
341,Mecca,SA,86.41,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
343,Pindiga,NG,80.56,broken clouds,9.9833,10.9333,Accommodation Center
344,Yaan,NG,77.41,scattered clouds,7.3833,8.5667,
345,Luena,AO,75.58,clear sky,-11.7833,19.9167,Hotel Kandamba
346,Phrae,TH,68.43,few clouds,18.0833,100.0,
347,Kudahuvadhoo,MV,81.32,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
348,Buraydah,SA,88.25,clear sky,26.326,43.975,Mövenpick Qassim
350,Carroll,US,67.12,clear sky,39.5501,-77.0164,Best Western Westminster Hotel
352,Itoman,JP,73.78,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
353,Wanning,CN,71.67,overcast clouds,18.8003,110.3967,Paradise Hotel
357,Samarai,PG,80.69,scattered clouds,-10.6167,150.6667,Nuli Sapi
359,Barquisimeto,VE,86.63,broken clouds,10.0739,-69.3228,Hotel Príncipe
360,Zemio,CF,70.81,broken clouds,5.0314,25.1361,OCHA Office
361,La Paz Centro,NI,78.67,overcast clouds,12.34,-86.6753,Quinta Momotombo
363,San Patricio,US,87.75,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
364,Gaoua,BF,82.04,few clouds,10.2992,-3.2508,
365,Balikpapan,ID,76.19,light rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
367,Kikwit,CD,77.11,broken clouds,-5.041,18.8162,HOTEL PLACE YALABA
370,Portland,US,70.7,haze,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
373,Vila Franca Do Campo,PT,75.61,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
376,Galveston,US,86.05,clear sky,29.3669,-94.9669,Crystal Suites
377,Hasaki,JP,75.22,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
378,Cartagena,CO,85.62,scattered clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
379,Bundi,IN,78.98,broken clouds,25.4417,75.6417,Heritage Haveli Raj Palace
383,Mongoumba,CF,70.59,overcast clouds,3.6415,18.5936,
385,Kon Tum,VN,68.0,overcast clouds,14.35,108.0,Hoa đà spa- homestay
387,Chimbarongo,CL,71.73,clear sky,-34.7,-71.05,Hostal Ruka Kamañ
393,Gat,IL,75.88,clear sky,31.61,34.7642,OlusHome
394,Chiang Kham,TH,69.66,broken clouds,19.5233,100.3,Rico Resort
395,Raga,SS,70.75,light rain,8.4596,25.678,
397,Yabelo,ET,66.58,overcast clouds,4.8833,38.0833,Asnakech W/michael
399,Thinadhoo,MV,80.67,few clouds,0.5333,72.9333,
400,Nacala,MZ,72.68,clear sky,-14.5428,40.6728,Nacala Plaza Business Design Hotel
407,Sanary-Sur-Mer,FR,69.89,scattered clouds,43.1178,5.8001,Résidence Pierre et Vacances Les Rivages de Coudoulière
408,Calcutta,IN,84.15,haze,22.5697,88.3697,CAMELLIA GROUP
410,Merauke,ID,78.22,overcast clouds,-8.4667,140.3333,
417,Danville,US,66.85,clear sky,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
418,Sri Aman,MY,75.25,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
420,De Aar,ZA,80.53,overcast clouds,-30.6497,24.0123,Nyibiba Guesthouse
421,Tabuk,PH,72.95,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
427,Matay,EG,77.94,clear sky,28.419,30.7792,Nag Aespen
429,Mulanje,MW,78.06,clear sky,-16.0316,35.5,Mulanje Motel
430,Chivacoa,VE,83.93,overcast clouds,10.1603,-68.895,Hotel Abruzzese C.A
432,Russell,US,75.9,clear sky,32.3502,-85.1999,Macs
434,Larap,PH,78.82,broken clouds,14.299,122.6504,Montemayor Cove
437,Santa Cruz Cabralia,BR,80.83,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
440,Bucerias,MX,87.98,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
441,Riverton,US,74.44,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
444,Guantanamo,CU,86.47,broken clouds,20.1444,-75.2092,Hotel Guantánamo
447,Maningrida,AU,78.4,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
448,Ciudad Guayana,VE,87.98,overcast clouds,8.3533,-62.6528,Hotel Las Americas
449,Elat,IL,84.04,clear sky,29.5581,34.9482,Club Hotel Eilat
452,Catalina,US,78.51,scattered clouds,32.5056,-110.9211,Miraval Arizona Resort & Spa
453,San Ciro De Acosta,MX,76.26,broken clouds,21.6333,-99.8167,Hotel Maria Isabel
455,Ibia,BR,89.91,overcast clouds,-19.4783,-46.5389,Hotel Triângulo
456,Haapiti,PF,78.53,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
460,Sao Gabriel,BR,66.38,light rain,-30.3364,-54.32,Hotel Obino São Gabriel
462,Kahului,US,77.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
464,Liwale,TZ,72.32,scattered clouds,-9.7667,37.9333,Tumaini Tulivu Lodge
466,Abu Zabad,SD,70.95,moderate rain,12.35,29.25,حامد محمد نور
468,Isla Mujeres,MX,82.45,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
472,Mahon,ES,70.36,few clouds,39.8885,4.2658,ARTIEM Capri
473,Nioro,GM,82.58,light rain,13.35,-15.75,
474,Ankpa,NG,73.98,scattered clouds,7.3706,7.6253,AA Suites
478,Garowe,SO,83.84,overcast clouds,8.4054,48.4845,Curubo Hotel
479,Denpasar,ID,78.4,overcast clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
480,Wanlaweyn,SO,76.84,few clouds,2.6185,44.8938,GAASHAAN HOME
483,Jhelum,PK,75.34,clear sky,32.9331,73.7264,Tulip Riverside Hotel And Restaurant Jehlum
484,Porbandar,IN,83.1,few clouds,21.6422,69.6093,Lords Inn Porbandar
489,Cap Malheureux,MU,72.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
493,San Jose,US,70.54,haze,37.3394,-121.895,The Westin San Jose
494,Umuarama,BR,74.79,overcast clouds,-23.7664,-53.325,Hotel Caiuá
499,Warri,NG,77.04,light rain,5.5167,5.75,GT Guesthouse
503,Reconquista,AR,70.65,scattered clouds,-29.15,-59.65,Grand Hotel
507,Tabou,CI,78.28,broken clouds,4.423,-7.3528,hotêl doufoulougou
508,San Luis,AR,68.77,clear sky,-33.295,-66.3356,Huarpes Hotel
510,Santa Lucia,ES,68.76,few clouds,27.9117,-15.5407,Las Tirajanas
511,Teknaf,BD,80.29,overcast clouds,20.8624,92.3058,Forestry Guesthouse
512,Salamanca,ES,67.62,overcast clouds,40.8333,-6.0,Palacio Carrascalino
513,Jalu,LY,76.57,clear sky,29.0331,21.5482,صاحبة الفخامة
514,Ca Mau,VN,75.56,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
518,Shimoda,JP,67.1,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
522,Mangrol,IN,81.99,broken clouds,21.1167,70.1167,Hotel The Royal Honours
523,Baherden,TM,68.11,clear sky,38.4362,57.4316,
524,Karachi,PK,75.02,haze,24.9056,67.0822,Sadaat
528,Barentu,ER,82.18,broken clouds,15.1139,37.5928,
529,Bardiyah,LY,71.74,clear sky,31.7561,25.0865,بورتو بردية
531,Lubango,AO,68.47,broken clouds,-14.9172,13.4925,Hotel Serra da Chela
535,Manokwari,ID,78.57,heavy intensity rain,-0.8667,134.0833,Swiss Belhotel Manokwari
536,Sechura,PE,75.4,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
537,Koumac,NC,72.82,overcast clouds,-20.5667,164.2833,Le Monitel
538,Madimba,TZ,73.2,clear sky,-10.4,40.3333,
539,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
540,Dondo,MZ,78.31,clear sky,-19.6094,34.7431,Pensao Casual
541,Pueblo,US,74.84,clear sky,38.2545,-104.6091,Courtyard by Marriott Pueblo Downtown
542,Auki,SB,75.7,scattered clouds,-8.7676,160.7034,Auki Motel
543,Panaba,MX,87.24,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
544,Tarata,BO,81.82,clear sky,-17.6167,-66.0167,Hacienda castillo
